chunk,article,law
"Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost izvršenja kazne počinje od dana kad je presuda kojom je kazna izrečena postala pravnosnažna, a ako je uslovna osuda opozvana - od dana kad je odluka o opozivanju postala pravnosnažna. ",Član 107  ,Krivični zakonik
"Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Ako je aktom amnestije ili pomilovanja ili odlukom suda po vanrednom pravnom leku izrečena kazna smanjena, vreme potrebno za nastupanje zastarelosti određuje se prema novoj kazni, ali se tok zastarelosti računa od ranije pravnosnažne presude. ",Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost ne teče za vreme za koje se po zakonu izvršenje kazne ne može preduzeti. ,Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost se prekida svakom radnjom nadležnog organa koja se preduzima radi izvršenja kazne. ,Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Svakim prekidom zastarevanje počinje ponovo da teče. ,Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost izvršenja kazne nastaje u svakom slučaju kad protekne dvostruko vreme koje se po zakonu traži za zastarelost izvršenja kazne. ,Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | U slučaju nastupanja zastarelosti iz stava 6. ovog člana započeto izvršenje kazne obustavlja se. ,Član 107  ,Krivični zakonik
Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Odredbe st. 2. do 5. ovog člana shodno se primenjuju i na zastarelost izvršenja mere bezbednosti. ,Član 107  ,Krivični zakonik
"Krivični zakonik | Nezastarelost krivičnog gonjenja i izvršenja kazne | Krivično gonjenje i izvršenje kazne ne zastarevaju za krivična dela predviđena u čl. 370. do 375. ovog zakonika, za krivična dela za koje je propisana kazna doživotnog zatvora, kao ni za krivična dela za koja po ratifikovanim međunarodnim ugovorima zastarelost ne može da nastupi. ",Član 108  ,Krivični zakonik
"Krivični zakonik | Amnestija | (1) Licim a koja su obuhvaćena aktom amnestije daje se oslobođenje od krivičnog gonjenja ili potpuno ili delimično oslobođenje od izvršenja kazne, zamenjuje se izrečena kazna blažom kaznom, daje se rehabilitacija ili se ukidaju pojedine ili sve pravne posledice osud e. (2) Amnestijom se mogu ukinuti sledeće mere bezbednosti: zabrana vršenja poziva, delatnosti i dužnosti, zabrana upravljanja motornim vozilom i proterivanje stranaca iz zemlje. ",Član 109  ,Krivični zakonik
"Krivični zakonik | Pomilovanje | (1) Pomilovanjem se poimenično određenom licu daje oslobođenje od krivičnog gonjenja ili potpuno ili delimično oslobođenje od izvršenja kazne, zamenjuje se izrečena kazna blažom kaznom ili uslovnom osudom, daje se rehabilitacija, određuje kraće trajanje od ređene pravne posledice osude ili se ukidaju pojedine ili sve pravne posledice osude. (2) Pomilovanjem se može ukinuti ili odrediti kraće trajanje mere bezbednosti zabrana vršenja poziva, delatnosti i dužnosti, zabrana upravljanja motornim vozilom i prote rivanje stranca iz zemlje. ",Član 110  ,Krivični zakonik
Krivični zakonik | Dejstvo amnestije i pomilovanja na prava trećih lica | Davanjem amnestije ili pomilovanja ne dira se u prava trećih lica koja se zasnivaju na osudi. Glava dvanaesta ZNAČENJE IZRAZA ,Član 111  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Pod teritorijom Srbije podrazumevaju se suvozemna teritorija, vodene površine unutar njenih granica, kao i vazdušni prostor nad njima. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Pod krivičnim zakonodavstvom Srbije podrazumevaju se ovaj zakonik kao i sve krivičnopravne odredbe sadržane u drugim zakonima Srbije. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Službenim licem smatra se: 1) lice koje u državnom or ganu vrši službene dužnosti; 2) izabrano, imenovano ili postavljeno lice u državnom organu, organu lokalne samouprave ili lice koje stalno ili povremeno vrši službene dužnosti ili službene funkcije u tim organima; 3) javni beležnik, javni izvršitelj i ar bitar, kao i lice u ustanovi, preduzeću ili drugom subjektu, kojem je povereno vršenje javnih ovlašćenja, koje odlučuje o pravima, obavezama ili interesima fizičkih ili pravnih lica ili o javnom interesu; 4) službenim licem smatra se i lice kojem je fakti čki povereno vršenje pojedinih službenih dužnosti ili poslova; 5) vojno lice. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Stranim službenim licem smatra se lice koje je član, funkcioner ili službenik zakonodavnog ili izvršnog organa strane države, lice koje je sudija, porotnik, član, funkcione r ili službenik suda strane države ili međunarodnog suda, lice koje je član, funkcioner ili službenik međunarodne organizacije i njenih organa, kao i lice koje je arbitar u stranoj ili međunarodnoj arbitraži. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Odgovornim licem u pravnom licu smatra se lice koje na osnovu zakona, propisa ili ovlašćenja vrši određene poslove upravljanja, nadzora ili druge poslove iz delatnosti pravnog lica, kao i lice kome je faktički povereno obavljanje tih poslov a. Odgovornim licem smatra se i službeno lice kad su u pit anju krivična dela kod kojih je kao izvršilac označeno odgovorno lice, a u ovom zakoniku nisu predviđena u glavi o krivičnim delima protiv službene dužnosti, odnosno kao krivična dela službenog lica. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Vojnim licem smatra se profesionalni vojnik (profes ionalni oficir, profesionalni podoficir, oficir po ugovoru, podoficir po ugovoru i vojnik po ugovoru), vojnik na odsluženju vojnog roka, student vojne akademije, učenik vojne škole, lice iz rezervno g sastava dok se kao vojni obveznik nalazi na vojnoj dužno sti i civilno lice koje vrši određenu vojnu dužnost. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Kad je kao izvršilac određenih krivičnih dela označeno službeno lice, odgovorno lice ili vojno lice, lica navedena u st. 3, 5. i 6. ovog člana mogu biti izvršioci tih dela, ako iz obeležja pojedinog dela ili iz pojedinog propisa ne proizilazi da izvršilac može biti samo neko od tih lica. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Detetom se smatra lice koje nije navršilo četrnaest godina. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Maloletnikom se smatra lice koje je navršilo četrnaest godina, a nije navršilo osamnaest godina . ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Maloletnim licem smatra se lice koje nije navršilo osamnaest godina. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Učiniocem se smatraju izvršilac, saizvršilac, podstrekač i pomagač. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Silom se smatra i primena hipnoze ili omamljujućih sredstava, s ciljem da se neko protiv svoje volje dovede u nesvesno stanje ili onesposobi za otpor. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Izborima se smatraju izbori za narodne poslanike, predsednika Republike, organe autonomne pokr ajine i jedinice lokalne samouprave i drugi izbori koji se raspisuju i vrše na osnovu Ustava i zakona. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Referendumom se smatra izjašnjavanje građana na kojem se odlučuje o pitanjima za koja je to utvrđeno Ustavom ili zakonom. ,Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Opojnim drogama sma traju se supstance i preparati koji su zakonom i drugim propisom zasnovanim na zakonu proglašeni za opojne droge i ostale psihoaktivne kontrolisane supstance. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Pokretnom stvari se smatra i svaka proizvedena ili sakupljena energija za davanje svetlosti , toplote ili kretanja, telefonski impuls, kao i računarski podatak i računarski program. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Računarski podatak je svako predstavljanje činjenica, informacija ili koncepta u obliku koji je podesan za njihovu obrad u u računarskom sistemu, uključujući i o dgovarajući program na osnovu koga računarski sistem obavlja svoju funkciju. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Računarskom mrežom smatra se skup međusobno povezanih računara, odnosno računarskih sistema koji komuniciraju razmenjujući podatke. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Računarskim programom smatra se ure đeni skup naredbi koji služe za upravljanje radom računara, kao i za rešavanje određenog zadatka pomoću računara. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Računarski virus je računarski program ili neki drugi skup naredbi unet u računar ili računarsku mrežu koji je napravlje n da sam sebe um nožava i deluje na druge programe ili podatke u računaru ili računarskoj mreži dodavanjem tog programa ili skupa naredbi jednom ili više računarskih programa ili podataka. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Subjektom privrednog poslovanja smatra se privredno društvo, drugo pravno lice koje obavlja privrednu delatnost i preduzetnik. Pravno lice koje pored svoje osnovne delatnosti obavlja i privrednu delatnost smatra se subjektom privrednog poslovanja samo kada vrši tu delatnost. (21a) Privredna delatnost je svaka delatnost proizvodnje i prometa roba, vršenje usluga i obavljanje drugih delatnosti na tržištu, radi sticanja dobiti ili ostvarivanja nekog drugog ekonomskog interesa. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Grupa je najmanje tri lica povezanih radi trajnog ili povremenog vršenja krivičnih dela koja ne mora da ima definisane uloge svojih članova, kontinuitet članstva ili razvijenu strukturu. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Novac je metalni i papirni novac ili novac izrađen od nekog drugog materijala koji je na osnovu zakona u opticaju u Srbi ji ili u stranoj državi. ,Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Znacima za vredn ost smatraju se i strani znaci za vrednost. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Motornim vozilom smatra se svako saobraćajno sredstvo na motorni pogon u suvozemnom, vodenom i vazdušnom saobraćaju. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Ispravom se smatra svaki predmet koji je podoban ili određen da služi kao dokaz kak ve činjenice koja ima značaj za pravne odnose, kao i računarski podatak. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Spis, pismo, pošiljka i dokument mogu biti i u elektronskom obliku. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Članom porodice smatraju se: supružnici, njihova deca, preci supružnika u pravoj liniji krvnog srodstva , vanbračni partneri i njihova deca, usvojilac i usvojenik, hranilac i hranjenik. Članovima porodice smatraju se i braća i sestre, njihov i supružnici i deca, bivši supružnici i njihova deca i roditelji bivših supružnika, ako žive u zajedničkom domaćinstvu, kao i lica koja imaju zajedničko dete ili je dete na putu da bude rođeno, iako nikada nisu živela u istom porodičnom domaćinstvu. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Izraz ""neće se kazniti"" znači da u tom slučaju nema krivičnog dela. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Kad je radnja krivičnog dela određena trajnim glagolom smatra se da je delo učinjeno, ako je radnja izvršena jednom ili više puta. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Skraćenica ""Srbija"" označava Republiku Srbiju. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Poslom od javnog značaja smatra se obavljanje profesije ili dužnosti koja ima povećani rizik za bezbednost lica koje ga obavlja, a odnosi se na zanimanja koja su od značaja za javno informisanje, zdravlje ljudi, obrazovanje, javni prevoz, pravnu i stručnu pomoć pred sudskim i drugim državnim organima. ",Član 112  ,Krivični zakonik
Krivični zakonik | Značenje izraza u ovom zakoniku | Računar je svaki elektronski uređaj koji na osnovu program a automatski obrađuje i razmenjuje podatke. ,Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Računarski sistem je svaki uređaj ili grupa međusobno povezanih ili zavisnih uređaja od kojih jedan ili više njih, na osnovu programa, vrši automatsku obradu podataka. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Organizovana kriminalna grupa je grupa od tri ili više lica, koja postoji određeno vreme i deluje sporazumno u cilju vršenja jednog ili više krivičnih dela za koja je propisana kazna zatvora od četiri godine ili teža kazna, radi neposrednog i li posrednog sticanja finansijske ili druge ko risti. ",Član 112  ,Krivični zakonik
"Krivični zakonik | Značenje izraza u ovom zakoniku | Imovinska korist je dobro svake vrste, materijalno ili nematerijalno, pokretno ili nepokretno, procenjivo ili neprocenji vo i isprava u bilo kom obliku kojim se dokazuje pravo ili interes u odnosu na takvo dobro. Imovinom se smatra i prihod ili druga korist ostvarena, neposredno ili posredno, iz krivičnog dela, kao i dobro u koje je ona pretvorena ili sa kojim je pomešana. POSEBNI DEO ",Član 112  ,Krivični zakonik
"Krivični zakonik | Ubistvo | Ko drugog liši života, kazniće se zatvorom od pet do petnaest godina. ",Član 113  ,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 1) ko drugog liši života na svirep ili podmukao način,Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 2) ko drugog liši života pri bezo bzirnom nasilničkom ponašanju,Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 3) ko drugog liši života i pri tom sa umišljajem dovede u opasnost život još nekog lica,Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 4) ko drugog liši života pri izvršenju krivičnog dela razbojništva ili razbojničke krađe,Član 114,Krivični zakonik
"Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 5) ko drugog liši života iz koristoljublja, radi izvršenja ili prikrivanja drugog krivičnog dela, iz bezobzirne osvete ili iz drugih niskih pobuda",Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 6) ko liši života službeno ili vojno lice pri vršenju službene dužnosti,Član 114,Krivični zakonik
"Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 7) ko liši života sudiju, javnog tužioca, zamenika javnog tužioca ili polici jskog službenika u vezi sa vršenjem službene dužnosti",Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 8) ko liši života lice koje obavlja poslove od javnog značaja u vezi sa poslovima koje to lice obavlja,Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 9) ko liši života dete ili bremenitu ženu,Član 114,Krivični zakonik
Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 10) ko liši života člana svoje porodice kojeg je pr ethodno zlostavljao,Član 114,Krivični zakonik
"Krivični zakonik | Teško ubistvo | Zatvorom najmanje deset godina ili doživotnim zatvorom kazniće se 11) ko sa umišljajem liši života više lica, a ne radi se o ubistvu na mah, ubistvu deteta pri porođaju ili lišenju života iz samilosti.",Član 114,Krivični zakonik
"Krivični zakonik | Teško ubistvo | Ko nabavlja ili osposobljava sredstva za izvršenje krivičnog dela iz stava 1. ovog člana ili otklanja prepreke za njegovo izvršenje ili sa drugim dogovara, planira ili organizuje njegovo izvršenje ili preduzme drugu radnju kojom se stvaraju uslovi za njegovo neposredno izvršenje, kazniće se zatvorom od jedne do pet godina. ",Član 114,Krivični zakonik
"Krivični zakonik | Ubistvo na mah | 5 Ko drugog liši života na mah doveden bez svoje krivice u jaku razdraženost napadom, zlostavljanjem ili teškim vređanjem od strane ubijenog, kazniće se zatvorom od jedne do osam godina. ",Član 11,Krivični zakonik
"Krivični zakonik | Ubistvo deteta pri porođaju | Majka koja liši života svoje dete za vreme porođaja ili neposredno posle porođaja, dok kod nje traje poremećaj izazvan porođajem, kazniće se zatvorom od šest meseci do pet godina. ",Član 116  ,Krivični zakonik
"Krivični zakonik | Lišenje života iz samilosti | Ko liši života punoletno lice iz samilosti zbog teškog zdravstvenog stanja u kojem se to lice nalazi, a na njegov ozbiljan i izričit zahtev, kazniće se zatvorom od šest meseci do pet godina. ",Član 117  ,Krivični zakonik
"Krivični zakonik | Nehatno lišenje života | Ko drugog liši života iz nehat a, kazniće se zatvorom od šest meseci do pet godina. ",Član 118  ,Krivični zakonik
"Krivični zakonik | Navođenje na samoubistvo i pomaganje u samoubistvu | Ko navede drugog na samoubistvo ili mu pomogne u izvršenju samoubistva, pa ovo bude izvršeno ili pokušano, kazniće se zatvorom od šest m eseci do pet godina. ",Član 119  ,Krivični zakonik
"Krivični zakonik | Navođenje na samoubistvo i pomaganje u samoubistvu | Ko drugom pomogne u izvršenju samoubistva pod uslovima iz člana 117. ovog zakonika, pa ovo bude izvršeno ili pokušano, kazniće se zatvorom od tri meseca do tri godine. ",Član 119  ,Krivični zakonik
"Krivični zakonik | Navođenje na samoubistvo i pomaganje u samoubistvu | Ko delo iz stava 1. ovog člana učini prema maloletniku il i prema licu koje se nalazi u stanju bitno smanjene uračunljivosti, kazniće se zatvorom od dve do deset godina. ",Član 119  ,Krivični zakonik
"Krivični zakonik | Navođenje na samoubistvo i pomaganje u samoubistvu | Ako je delo iz stava 1. ovog člana učinjeno prema detetu ili prema neuračunljivom licu, učinilac će se kazniti po članu 114. ovog zakonika. ",Član 119  ,Krivični zakonik
"Krivični zakonik | Navođenje na samoubistvo i pomaganje u samoubistvu | Ko surovo ili nečovečno postupa sa licem koje se prema njemu nalazi u odnosu kakve podređenosti ili zavisnosti, pa ono usled takvog postupanja izvrši ili pokuša samoubistvo koje se može pripisati nehatu učinioca, kazniće se zatvorom od šest meseci do pet godina. ",Član 119  ,Krivični zakonik
"Krivični zakonik | Nedozvoljen prekid trudnoće | Ko protivno propisima o vršenju prekida trudnoće bremenitoj ženi sa njenim pristankom izvrši pobačaj, započne da vrši pobačaj ili joj pomogne da izvrši pobačaj, kazniće se zatvorom od tri meseca do t ri godine. ",Član 120  ,Krivični zakonik
"Krivični zakonik | Nedozvoljen prekid trudnoće | Ko se bavi vršenjem dela iz stava 1. ovog člana, kazniće se zatvorom od šest meseci do pet godina. ",Član 120  ,Krivični zakonik
"Krivični zakonik | Nedozvoljen prekid trudnoće | Ko bremenitoj ženi bez njenog pristanka, a ako je mlađa od šesnaest godina bez njenog pristanka i bez pisane saglasnosti njenog roditelj a, usvojioca ili staraoca, izvrši ili započne da vrši pobačaj, kazniće se zatvorom od jedne do osam godina. ",Član 120  ,Krivični zakonik
"Krivični zakonik | Nedozvoljen prekid trudnoće | Ako je usled dela iz st. 1. do 3. ovog člana nastupila smrt, teško narušavanje zdravlja ili druga teška telesna povreda ž ene nad kojom je vršen prekid trudnoće, učinilac će se kazniti za delo iz st. 1. i 2. ovog člana zatvorom od jedne do sedam godina, a za delo iz stava 3. ovog člana zatvorom od dve do dvanaest godina. ",Član 120  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ko drugog teško telesno povredi ili mu zdravlje teško naruši, kazniće se zatvorom od šest meseci do pet godina. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ko drugog teško telesno povredi ili mu zdravlje naruši tako teško da je usled toga doveden u opasnost život povređenog ili je uništen ili trajno i u znatnoj meri oštećen ili osla bljen neki važan deo njegovog tela ili važan organ ili je prouzrokovana trajna nesposobnost za rad povređenog ili trajno i teško narušenje njegovog zdravlja ili unakaženost, kazniće se zatvorom od jedne do osam godina. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ako je usled dela iz st. 1. i 2. ovog člana nastupila smrt povređenog lica, učinilac će se kazniti zatvorom od dve do dvanaest godina. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ko delo iz st. 1. i 2. ovog člana učini iz nehata, kazniće se zatvorom do tri godine. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ko delo iz st. 1. do 3. ovog člana učini na mah, doveden bez svoje krivice u jaku razdraženost napadom, zlostavljanjem ili teškim vređanjem od strane povređenog, kazniće se za delo iz stava 1. zatvorom do tri godine, za delo iz stava 2. zatvorom od tri meseca do četiri godine, a za delo iz stava 3. zatvorom od š est meseci do pet godina. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Teška telesna povreda | Ako je delo iz stava 1. ovog člana učinjeno prema maloletnom licu ili bremenitoj ženi ili licu koje obavlja poslove od ja vnog značaja, učinilac će se kazniti zatvorom od jedne do osam godina, za delo iz stava 2. ovog člana za tvorom od dve do dvanaest godina, a za delo iz stava 3. ovog člana zatvorom od pet do petnaest godina. ",Član 121  ,Krivični zakonik
"Krivični zakonik | Sakaćenje ženskog polnog organa | (1) Ko osakati spoljne delove ženskog polnog organa, kazniće se zatvorom od jedne do osam godina. (2) Ako postoje naročito olakšavajuće okolnosti pod kojima je učinjeno delo iz stava 1. ovog člana, učinilac će se kazniti zatvorom od tri meseca do tri godine. (3) Ko žensko lice navede da se podvrgne radnji iz stava 1. ovog člana ili joj u tome pomogne, kazniće se zatvorom od šest meseci do pet godina. (4) Ako je usled dela iz stava 1. ovog člana nastupila smrt ženskog lica, učinilac će se kazniti zatvorom od dve do dvanaest godina",Član 121a  ,Krivični zakonik
"Krivični zakonik | Laka telesna povreda | (1) Ko drugog lako telesno povredi ili mu zdravlje lako naruši, kazniće se novčanom kaznom ili zatvorom do jedne godine. (2) Ako je takva povreda nanesena oružjem, opasnim oruđem ili drugim sredstvom podobnim da telo teško povredi ili zdravlje teško naruši, učinilac će se kazniti zatvorom do tri godine. (3) Sud može učiniocu dela iz stava 2. ovog člana izreći sudsku opomenu, ako je učinilac bio izazvan nepristojnim ili grubim ponašanjem oštećenog. (4) Gonjenje za delo iz stava 1. ovog člana pr eduzima se po privatnoj tužbi. ",Član 122  ,Krivični zakonik
"Krivični zakonik | Učestvovanje u tuči | Ko učestvuje u tuči u kojoj je neko lišen života ili je drugom nanesena teška telesna povreda, kazniće se za samo učestvovanje novčanom kaznom ili zatvorom do tri godine. ",Član 123  ,Krivični zakonik
"Krivični zakonik | Ugrožavanje opasnim o ruđem pri tuči i svađi | (1) Ko se pri tuči ili svađi maši oružja, opasnog oruđa ili drugog sredstva podobnog da telo teško povredi ili zdravlje teško naruši, kazniće se novčanom kaznom ili zatvorom do šest meseci. (2) Ko se pri tuči ili svađi ma ši vatrenog oružja, kazniće se zatvorom do dve godine i novčanom kaznom. ",Član 124  ,Krivični zakonik
"Krivični zakonik | Izlaganje opasnosti | (1) Ko drugo lice ostavi bez pomoći u stanju ili prilikama opasnim za život ili zdravlje koje je sam pouzrokovao, kazniće se zatvorom od tri meseca do tri godine. (2) Ako je usled dela iz stava 1. ovog člana nastupilo teško narušenje zdravlja ili druga teška telesna povreda ostavljenog lica, učinilac će se kazniti zatvorom od jedne do pet godina. (3) Ako je usled dela iz stava 1. ovog člana nastupila s mrt ostavljenog lica, učinilac će se kazniti zatvorom od jedne do osam godina. (4) Ako je delo iz st. 1. do 3. ovog člana učinjeno prema maloletnom licu ili bremenitoj ženi, učinilac će se za delo iz stava 1. kazniti zatvorom od šest meseci do pet godina, za delo iz stava 2. zatvorom od jedne do osam godina, a za delo iz stava 3. zatvorom od dve do dvanaest godina. ",Član 125  ,Krivični zakonik
"Krivični zakonik | Napuštanje nemoćnog lica | (1) Ko nemoćno lice koje mu je povereno ili o kojem je inače dužan da se stara ostavi bez pomoći u stanju ili prilikama opasnim za život ili zdravlje, kazniće se zatvorom od tri meseca do tri godine. (2) Ako je usled dela iz stava 1. ovog člana nastupilo teško narušenje zdravlja ili druga teška telesna povreda ostavljenog lica, učinilac će se kazniti zatvorom od jedne do pet godina. (3) Ako je usled dela iz stava 1. ovog člana nastupila smrt ostavljenog lica, učinilac će se kazniti zatvorom od jedne do osam godina. ",Član 126  ,Krivični zakonik
"Krivični zakonik | Nepružanje pomoći | (1) Ko ne pruži pomoć licu koje se nalazi u neposrednoj opasnosti za život iako je to mogao učiniti bez opasnosti za sebe ili drugog, kazniće se novčanom kaznom ili zatvorom do dve godine. (2) Ako je usled nepružanja pomoći nastupilo teško narušenje zdrav lja ili druga teška telesna povreda lica koje se nalazilo u neposrednoj opasnosti za život, učinilac će se kazniti novčanom kaznom ili zatvorom do tri godine. (3) Ako je usled nepružanja pomoći nastupila smrt lica koje se nalazilo u neposrednoj opasnosti za život, učinilac će se kazniti zatvorom od tri meseca do pet godina. ",Član 127,Krivični zakonik
"Krivični zakonik | Povreda ravnopravnosti | (1) Ko zbog nacionalne ili etničke pripadnosti, rase ili veroispovesti i li zbog odsustva te pripadnosti ili zbog razlika u pogledu političkog ili drugog ubeđenja, pola, invaliditeta, seksualne orijentacije, rodnog identiteta, jezika, obrazovanja, društveno g položaja, socijalnog porekla, imovnog stanja ili nekog drugog ličnog s vojstva, drugome uskrati ili ograniči prava čoveka i građanina utvrđena Ustavom, zakonima ili drugim propisima ili opštim aktima ili potvrđenim međunarodnim ugovorima ili mu na osnovu ove razlike daje povlastice ili pogodnosti, kazniće se zatvorom do tri g odine. (2) Ako delo iz stava 1. ovog člana učini službeno lice u vršenju službe, kazniće se zatvorom od tri meseca do pet godina. ",Član 128  ,Krivični zakonik
"Krivični zakonik | Povreda prava upotrebe jezika i pisma | Ko suprotno propisima o upotrebi jezika i pisma naroda ili pripadnika manji nskih nacionalnih i etničkih zajednica koji žive u Srbiji uskrati ili ograniči građaninu da pri ostvarivanju svojih prava ili pri obraćanju organima ili organizacijama upotrebi jezik ili pismo kojim se služi, kazniće se novčanom kaznom ili zatvorom do jedn e godine. ",Član 129  ,Krivični zakonik
"Krivični zakonik | Povreda slobode izražavanja nacionalne ili etničke pripadnosti | (1) Ko sprečava drugog da izražava svoju nacionalnu ili etničku pripadnost ili kulturu, kazniće se novčanom kaznom ili zatvorom do jedne godine. (2) Kaznom iz stava 1. ov og člana kazniće se i ko prinuđava drugog da se izjašnjava o svojoj nacionalnoj ili etničkoj pripadnosti. (3) Ako delo iz st. 1. i 2. ovog člana učini službeno lice u vršenju službe, kazniće se zatvorom do tri godine. ",Član 130  ,Krivični zakonik
"Krivični zakonik | Povreda slobode ispovedanja vere i v ršenja verskih obreda | (1) Ko sprečava ili ograničava slobodu verovanja ili ispovedanja vere, kazniće se novčanom kaznom ili zatvorom do jedne godine. (2) Kaznom iz stava 1. ovog člana kazniće se i ko sprečava ili ometa vršenje verskih obreda. (3) Ko prinuđava drugog da se izjašnjava o svom verskom uverenju, kazniće se novčanom kaznom ili zatvorom do jedne godine. (4) Službeno lice koje učini delo iz st. 1. do 3. ovog člana, kazniće se zatvorom do tri godine. ",Član 131  ,Krivični zakonik
